country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","10-03-2025 17:00:00",28.5504249,77.2159377,NO2,42,47,44
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.710508,77.249485,SO2,12,41,22
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.710508,77.249485,OZONE,9,88,55
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","10-03-2025 17:00:00",28.531346,77.190156,PM10,108,193,142
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.672342,77.315260,NH3,1,5,3
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","10-03-2025 17:00:00",28.567890,77.250515,NH3,8,21,9
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","10-03-2025 17:00:00",28.567890,77.250515,OZONE,2,195,195
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","10-03-2025 17:00:00",28.6573814,77.1585447,PM2.5,69,331,179
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","10-03-2025 17:00:00",28.6573814,77.1585447,PM10,104,273,162
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","10-03-2025 17:00:00",28.530785,77.271255,OZONE,6,145,79
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","10-03-2025 17:00:00",28.674045,77.131023,PM10,112,276,166
India,Delhi,Delhi,"Pusa, Delhi - DPCC","10-03-2025 17:00:00",28.639652,77.146275,NH3,7,14,11
India,Delhi,Delhi,"Pusa, Delhi - IMD","10-03-2025 17:00:00",28.636110,77.173332,CO,28,72,41
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","10-03-2025 17:00:00",23.016834,72.625775,PM10,51,210,122
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","10-03-2025 17:00:00",23.016834,72.625775,NH3,2,18,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","10-03-2025 17:00:00",23.016834,72.625775,SO2,30,116,80
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-03-2025 17:00:00",28.563262,77.186937,CO,6,104,24
India,Delhi,Delhi,"Rohini, Delhi - DPCC","10-03-2025 17:00:00",28.732528,77.119920,CO,24,105,38
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","10-03-2025 17:00:00",28.623763,77.287209,PM10,141,300,189
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","10-03-2025 17:00:00",28.623763,77.287209,NO2,21,115,54
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","10-03-2025 17:00:00",23.020509,72.579261,SO2,7,16,10
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","10-03-2025 17:00:00",28.563262,77.186937,NH3,3,8,5
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","10-03-2025 17:00:00",12.9135218,77.5950804,CO,20,36,26
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","10-03-2025 17:00:00",12.951913,77.539784,OZONE,35,69,50
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","10-03-2025 17:00:00",12.9756843,77.5660749,SO2,8,19,12
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","10-03-2025 17:00:00",13.029152,77.585901,PM10,62,129,91
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","10-03-2025 17:00:00",12.938539,77.590100,NH3,2,4,3
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","10-03-2025 17:00:00",28.593883,76.270653,CO,12,25,16
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","10-03-2025 17:00:00",28.593883,76.270653,OZONE,15,18,16
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","10-03-2025 17:00:00",28.39072,77.30059,PM10,88,135,109
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","10-03-2025 17:00:00",28.376058,77.315741,PM2.5,44,49,46
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","10-03-2025 17:00:00",28.376058,77.315741,PM10,53,59,55
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","10-03-2025 17:00:00",28.376058,77.315741,NO2,30,32,31
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-03-2025 17:00:00",21.613267,73.010555,NO2,77,112,96
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","10-03-2025 17:00:00",21.613267,73.010555,NH3,4,7,5
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-03-2025 17:00:00",23.163798,72.677768,PM2.5,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-03-2025 17:00:00",23.163798,72.677768,PM10,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","10-03-2025 17:00:00",23.163798,72.677768,SO2,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","10-03-2025 17:00:00",23.221714,72.654328,PM10,35,148,98
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","10-03-2025 17:00:00",23.221714,72.654328,SO2,4,6,6
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-03-2025 17:00:00",28.3153,76.9143,OZONE,13,150,88
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","10-03-2025 17:00:00",30.943887,76.801991,PM10,45,232,111
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","10-03-2025 17:00:00",34.066206,74.819820,NO2,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","10-03-2025 17:00:00",34.066206,74.819820,NH3,NA,NA,NA
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","10-03-2025 17:00:00",28.422681,77.148944,CO,34,50,41
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","10-03-2025 17:00:00",28.4227,77.0667,NH3,6,10,8
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-03-2025 17:00:00",28.3153,76.9143,PM10,77,119,92
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-03-2025 17:00:00",28.3153,76.9143,NO2,61,69,65
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","10-03-2025 17:00:00",23.80569,86.44268,CO,1,2,2
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","10-03-2025 17:00:00",12.9135218,77.5950804,PM10,60,111,86
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","10-03-2025 17:00:00",23.076793,72.627874,SO2,11,20,13
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","10-03-2025 17:00:00",23.076793,72.627874,CO,20,105,31
India,Gujarat,Surat,"Science Center, Surat - SMC","10-03-2025 17:00:00",21.170046,72.795405,PM10,34,500,164
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","10-03-2025 17:00:00",28.4417,77.3217,SO2,6,6,6
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","10-03-2025 17:00:00",12.7816279,77.6299145,PM10,59,109,88
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","10-03-2025 17:00:00",12.7816279,77.6299145,OZONE,23,32,27
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","10-03-2025 17:00:00",13.003872,77.664217,PM2.5,35,79,41
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-03-2025 17:00:00",13.0270199,77.494094,PM10,33,105,84
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-03-2025 17:00:00",13.0270199,77.494094,CO,1,50,5
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-03-2025 17:00:00",13.0270199,77.494094,OZONE,27,31,29
